WindDir_CALM,WindDir_E,WindDir_ENE,WindDir_ESE,WindDir_N,WindDir_NE,WindDir_NNE,WindDir_NNW,WindDir_NW,WindDir_S,WindDir_SE,WindDir_SSE,WindDir_SSW,WindDir_SW,WindDir_W,WindDir_WNW,WindDir_WSW,Air Temp (degrees C),Humidity (%),MSLP (hPa),Wind Speed (km/h),Wind Gust  (km/h),E (hPa),Dew Pt Temp (degrees C),Apparent Temp (degrees C),Rainfall since 9 am (mm)
0.0,0.0,0.03875968992248062,0.015503875968992248,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.0,0.023255813953488372,0.4186046511627907,0.06201550387596899,0.13178294573643412,0.10077519379844961,0.08527131782945736,0.03875968992248062,0.015503875968992248,0.03875968992248062,19.651937984496122,61.63565891472868,1011.784496124031,14.325581395348838,43.0,13.980619060055446,12.004651162790697,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5633802816901409,0.07042253521126761,0.323943661971831,0.04225352112676056,0.0,0.0,0.0,0.0,18.56056338028169,53.71830985915493,1015.9830985915494,22.704225352112676,39.0,11.300188010364034,8.83943661971831,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,51.0,1016.4,26.0,35.0,10.048411222465072,7.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.2782608695652174,0.034782608695652174,0.3217391304347826,0.20869565217391303,0.11304347826086956,0.0,0.008695652173913044,0.02608695652173913,17.183478260869563,59.608695652173914,1012.0452173913043,15.782608695652174,37.0,11.574564230528699,9.13304347826087,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.4186046511627907,0.0,0.13953488372093023,0.08527131782945736,0.046511627906976744,0.17829457364341086,0.031007751937984496,0.09302325581395349,18.110852713178296,66.56589147286822,1010.086046511628,19.837209302325583,37.0,13.699222053214873,11.71937984496124,0.0,0.0
0.0,0.008,0.016,0.016,0.136,0.008,0.032,0.056,0.088,0.152,0.016,0.112,0.128,0.104,0.04,0.048,0.04,22.2568,59.824,1008.888,12.112,32.0,15.244087159561449,13.3624,0.0,0.0
0.0,0.0,0.0,0.0,0.8217054263565892,0.0,0.17829457364341086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41705426356589,41.13953488372093,1007.7062015503876,33.44961240310077,63.0,14.627736858305589,12.810077519379846,0.0,0.0
0.0,0.0,0.0,0.0,0.5675675675675675,0.0,0.08108108108108109,0.05405405405405406,0.04054054054054054,0.0945945945945946,0.0,0.0,0.08108108108108109,0.06756756756756757,0.013513513513513514,0.0,0.0,26.616216216216216,50.04054054054054,1008.5932432432431,28.756756756756758,52.0,16.723180250695666,14.787837837837838,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35877862595419846,0.022900763358778626,0.2748091603053435,0.2366412213740458,0.10687022900763359,0.0,0.0,0.0,20.287022900763358,71.90076335877863,1017.1832061068702,20.297709923664122,37.0,17.024315073497505,15.025954198473283,0.0,44.0
0.0,0.06722689075630252,0.05042016806722689,0.0,0.0,0.025210084033613446,0.03361344537815126,0.025210084033613446,0.07563025210084033,0.06722689075630252,0.0,0.025210084033613446,0.18487394957983194,0.29411764705882354,0.03361344537815126,0.03361344537815126,0.08403361344537816,21.496638655462185,84.83193277310924,1013.8327731092437,8.294117647058824,17.0,21.76663240165939,18.80672268907563,0.0,238.2
